Transaction_ID,Customer_ID,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Purchase_Date,Customer_City,Payment_Method,Customer_Age_Group,Is_Returned,Month,Month_Name,Quarter,Day_of_Week,Customer_Segment
TXN00001,CUST0380,Audio & Headphones,Sony WH-1000XM5,1,31149.06,31149.06,2024-12-04,Mumbai,UPI,26-35,No,12,Dec,Q4,Wednesday,Gold
TXN00002,CUST0143,Smartphones,Xiaomi 14,1,62072.75,62072.75,2024-11-15,Bangalore,Credit Card,26-35,No,11,Nov,Q4,Friday,Gold
TXN00003,CUST0136,Accessories,TP-Link AX1800 Router,1,4212.66,4212.66,2024-11-14,Bangalore,UPI,26-35,No,11,Nov,Q4,Thursday,Gold
TXN00004,CUST0149,Tablets,OnePlus Pad Go,1,20246.51,20246.51,2024-12-28,Mumbai,UPI,26-35,No,12,Dec,Q4,Saturday,Silver
TXN00005,CUST0312,Smartphones,Vivo V30 Pro,1,42907.5,42907.5,2024-10-01,Ahmedabad,Debit Card,26-35,Yes,10,Oct,Q4,Tuesday,Gold
TXN00006,CUST0017,Smart Watches,Noise ColorFit Ultra 3,2,3087.59,6175.18,2024-11-14,Pune,UPI,36-45,No,11,Nov,Q4,Thursday,Silver
TXN00007,CUST0127,Smartphones,OPPO Find X7,2,54080.58,108161.16,2024-10-31,Bangalore,UPI,36-45,No,10,Oct,Q4,Thursday,Silver
TXN00008,CUST0322,Accessories,Logitech MX Keys Mini,1,8507.95,8507.95,2024-03-21,Mumbai,UPI,36-45,No,3,Mar,Q1,Thursday,Silver
TXN00009,CUST0394,Smartphones,iPhone 15 Pro,1,138791.24,138791.24,2024-10-03,Ahmedabad,Debit Card,55+,No,10,Oct,Q4,Thursday,Gold
TXN00010,CUST0260,Smartphones,OnePlus 12,1,65078.89,65078.89,2024-09-22,Hyderabad,Net Banking,36-45,No,9,Sep,Q3,Sunday,Gold
TXN00011,CUST0158,Smartphones,Vivo V30 Pro,1,44916.96,44916.96,2024-04-29,Bangalore,Cash on Delivery,36-45,No,4,Apr,Q2,Monday,Silver
TXN00012,CUST0311,Accessories,Logitech MX Keys Mini,1,7989.91,7989.91,2024-07-15,Chennai,UPI,26-35,No,7,Jul,Q3,Monday,Silver
TXN00013,CUST0174,Accessories,TP-Link AX1800 Router,1,4454.44,4454.44,2024-01-11,Mumbai,Cash on Delivery,36-45,No,1,Jan,Q1,Thursday,Silver
TXN00014,CUST0068,Accessories,TP-Link AX1800 Router,1,4190.09,4190.09,2024-10-25,Hyderabad,UPI,26-35,No,10,Oct,Q4,Friday,Gold
TXN00015,CUST0335,Smartphones,Google Pixel 8,1,74227.28,74227.28,2024-12-28,Kolkata,UPI,46-55,No,12,Dec,Q4,Saturday,Silver
TXN00016,CUST0039,Smartphones,OPPO Find X7,1,51832.66,51832.66,2024-07-23,Bangalore,Net Banking,55+,No,7,Jul,Q3,Tuesday,Bronze
TXN00017,CUST0031,Accessories,Samsung 25W Adapter,1,1229.65,1229.65,2024-03-24,Delhi,Credit Card,36-45,No,3,Mar,Q1,Sunday,Silver
TXN00018,CUST0278,Smart Watches,Titan Smart Pro,1,5667.66,5667.66,2024-01-31,Jaipur,Credit Card,46-55,No,1,Jan,Q1,Wednesday,Bronze
TXN00019,CUST0207,Smartphones,Samsung Galaxy S24,1,84496.13,84496.13,2024-03-03,Mumbai,Net Banking,36-45,No,3,Mar,Q1,Sunday,Gold
TXN00020,CUST0203,Audio & Headphones,boAt Rockerz 550,1,2138.04,2138.04,2024-03-08,Pune,UPI,55+,No,3,Mar,Q1,Friday,Bronze
TXN00021,CUST0036,Audio & Headphones,Apple AirPods Pro 2,1,23199.87,23199.87,2024-12-01,Delhi,Cash on Delivery,36-45,No,12,Dec,Q4,Sunday,Silver
TXN00022,CUST0069,Accessories,Anker 65W GaN Charger,1,2566.12,2566.12,2024-05-11,Ahmedabad,UPI,26-35,No,5,May,Q2,Saturday,Bronze
TXN00023,CUST_UNKNOWN,Laptops,ASUS VivoBook 16,1,43036.21,43036.21,2024-07-16,Ahmedabad,UPI,36-45,No,7,Jul,Q3,Tuesday,Gold
TXN00024,CUST0077,Smart Watches,Amazfit GTR 4,1,13125.68,13125.68,2024-08-31,Ahmedabad,Debit Card,18-25,No,8,Aug,Q3,Saturday,Gold
TXN00025,CUST0400,Accessories,Anker 65W GaN Charger,1,2658.51,2658.51,2024-09-05,Delhi,UPI,46-55,No,9,Sep,Q3,Thursday,Bronze
TXN00026,CUST0211,Smartphones,OnePlus 12,1,68965.67,68965.67,2024-11-13,Pune,UPI,36-45,No,11,Nov,Q4,Wednesday,Silver
TXN00027,CUST0117,Accessories,SanDisk 256GB Pen Drive,2,1719.11,3438.22,2024-04-21,Bangalore,UPI,18-25,No,4,Apr,Q2,Sunday,Gold
TXN00028,CUST0134,Laptops,MSI Modern 15,2,54521.28,109042.56,2024-03-30,Delhi,UPI,26-35,No,3,Mar,Q1,Saturday,Gold
TXN00029,CUST0001,Laptops,Dell XPS 15,1,157060.02,157060.02,2024-08-21,Delhi,Debit Card,36-45,No,8,Aug,Q3,Wednesday,Gold
TXN00030,CUST0260,Laptops,Acer Aspire 7,1,69338.91,69338.91,2024-05-30,Mumbai,Net Banking,18-25,No,5,May,Q2,Thursday,Gold
TXN00031,CUST0147,Accessories,Logitech MX Keys Mini,1,8652.01,8652.01,2024-04-15,Chennai,UPI,26-35,No,4,Apr,Q2,Monday,Silver
TXN00032,CUST0048,Audio & Headphones,Bose QuietComfort 45,1,32803.06,32803.06,2024-11-17,Hyderabad,Credit Card,18-25,No,11,Nov,Q4,Sunday,Silver
TXN00033,CUST0295,Smartphones,OPPO Find X7,2,55978.19,111956.38,2024-04-07,Bangalore,Net Banking,36-45,No,4,Apr,Q2,Sunday,Gold
TXN00034,CUST0238,Smart Watches,Samsung Galaxy Watch 6,1,28201.73,28201.73,2024-01-26,Kolkata,Debit Card,46-55,No,1,Jan,Q1,Friday,Silver
TXN00035,CUST0259,Accessories,TP-Link AX1800 Router,2,4822.96,9645.92,2024-07-17,Hyderabad,Debit Card,46-55,No,7,Jul,Q3,Wednesday,Bronze
TXN00036,CUST0040,Smart Watches,boAt Wave Sigma,1,1562.75,1562.75,2024-10-22,Hyderabad,UPI,18-25,No,10,Oct,Q4,Tuesday,Gold
TXN00037,CUST0213,Laptops,HP Pavilion 15,1,56815.46,56815.46,2024-02-01,Bangalore,Credit Card,55+,No,2,Feb,Q1,Thursday,Gold
TXN00038,CUST0215,Accessories,Seagate 1TB HDD,2,3486.11,6972.22,2024-08-28,Delhi,Credit Card,26-35,No,8,Aug,Q3,Wednesday,Gold
TXN00039,CUST0240,Laptops,MSI Modern 15,1,51609.4,51609.4,2024-12-11,Bangalore,UPI,36-45,No,12,Dec,Q4,Wednesday,Bronze
TXN00040,CUST0109,Smartphones,Google Pixel 8,1,71569.16,71569.16,2024-07-28,Mumbai,UPI,55+,No,7,Jul,Q3,Sunday,Gold
TXN00041,CUST0333,Tablets,Nokia T21,1,14768.7,14768.7,2024-02-04,Lucknow,UPI,26-35,No,2,Feb,Q1,Sunday,Silver
TXN00042,CUST0359,Audio & Headphones,JBL Tune 770NC,1,7520.62,7520.62,2024-05-07,Chennai,UPI,36-45,No,5,May,Q2,Tuesday,Bronze
TXN00043,CUST0193,Smartphones,Realme GT 6,1,37490.89,37490.89,2024-07-05,Delhi,Debit Card,36-45,No,7,Jul,Q3,Friday,Silver
TXN00044,CUST0339,Tablets,Samsung Galaxy Tab S9,1,76458.89,76458.89,2024-06-25,Mumbai,Credit Card,46-55,No,6,Jun,Q2,Tuesday,Gold
TXN00045,CUST0139,Accessories,SanDisk 256GB Pen Drive,1,1858.67,1858.67,2024-09-24,Pune,Cash on Delivery,46-55,No,9,Sep,Q3,Tuesday,Silver
TXN00046,CUST0238,Laptops,Lenovo IdeaPad Slim 5,1,50538.96,50538.96,2024-09-08,Ahmedabad,UPI,26-35,No,9,Sep,Q3,Sunday,Silver
TXN00047,CUST0006,Laptops,ASUS VivoBook 16,2,41900.56,83801.12,2024-08-20,Hyderabad,UPI,36-45,No,8,Aug,Q3,Tuesday,Gold
TXN00048,CUST0125,Laptops,HP Envy x360,1,89252.72,89252.72,2024-05-29,Delhi,Credit Card,26-35,No,5,May,Q2,Wednesday,Gold
TXN00049,CUST0062,Laptops,HP Envy x360,1,86700.23,86700.23,2024-10-30,Mumbai,UPI,36-45,No,10,Oct,Q4,Wednesday,Silver
TXN00050,CUST0155,Audio & Headphones,Sennheiser Momentum 4,2,37680.09,75360.18,2024-01-08,Delhi,UPI,36-45,No,1,Jan,Q1,Monday,Gold
TXN00051,CUST0175,Smartphones,OPPO Find X7,1,51501.83,51501.83,2024-04-02,Delhi,Credit Card,46-55,No,4,Apr,Q2,Tuesday,Gold
TXN00052,CUST0128,Smartphones,iPhone 15 Pro,2,127382.88,254765.76,2024-03-02,Ahmedabad,UPI,26-35,No,3,Mar,Q1,Saturday,Gold
TXN00053,CUST0031,Laptops,HP Envy x360,1,87080.92,87080.92,2024-09-22,Bangalore,Credit Card,26-35,No,9,Sep,Q3,Sunday,Silver
TXN00054,CUST0241,Smartphones,OnePlus 12,1,65539.71,65539.71,2024-05-22,Bangalore,Debit Card,26-35,No,5,May,Q2,Wednesday,Gold
TXN00055,CUST0073,Accessories,Samsung 25W Adapter,1,1283.44,1283.44,2024-02-06,Hyderabad,Net Banking,36-45,No,2,Feb,Q1,Tuesday,Bronze
TXN00056,CUST0042,Smartphones,Realme GT 6,2,41277.26,82554.52,2024-09-18,Chennai,Credit Card,18-25,No,9,Sep,Q3,Wednesday,Silver
TXN00057,CUST0388,Smart Watches,Apple Watch Series 9,1,45249.13,45249.13,2024-03-28,Delhi,UPI,55+,No,3,Mar,Q1,Thursday,Silver
TXN00058,CUST0083,Tablets,Samsung Galaxy Tab S9,1,72648.73,72648.73,2024-06-08,Delhi,UPI,46-55,No,6,Jun,Q2,Saturday,Gold
